He,She
Hey ;),Ramming my cunt with this candle like a sex freak
So how have u been?,OMG you better be jerking off.
 Really? Like what? ;),Amazing. Fucking amazing you pervo we’re pervos!!!!
I would like to know ;) Your so pretty;),Me too.
So how can we fix u being naughty?,Hey.
I like that. So u wearing much?,"Fairly well, and I've been naughty sometimes ;)"
Sounds nice;),Oh You have no idea ;)
Just a t shirt;) U must be rather warm though maybe u should get more comfortable ;),"Ah, so I have been told ;)"
I can imagine ;) I bet u look fine.,Any way you want ;)
Wow I'm hard now.,Just a tank top and shorts ;)
So what you doing to yourself? Hard as fuck ;),Wbu?
Mmm..,"Yup I guess... So there goes the top, off of me.. ;)"
Awesome. May I feel them?,Mhm.. ;)
Oh.,Already? How hard? ;)
Your such a turn on;),"I'm sitting with you, on your bed ;)"
Mmm.. Fuck I'm hard,With JUST my panties on ;)
I want to touch u,"I'm afraid, not now. ;)"
Mmm..,First we lay on your bed.. And pull the comforters ;)
"Yes I want to feel your whole body, It's so smooth, soft, your breasts are incredible.. I want to suck your nipples ;)",I know ;) Then I start feeling you up..
Yeah;),"Your chest, mmhm... Lickable, Your abs... I lick them tooo"
Mmm..,"You can, wherever you want too ;)"
Ah it's great. I want fuck your mouth for a bit ;) As you look into my eyes.,Then I find something hard.. Hard like a pole... Mhmmm
It's a beautiful sight..,"Mhmmmm, sure. Then I take your cock in my mouth ;) mhmmm."
"But now I want to lay u down, and I want to feel your clit..",I touch your 'tip' with my tongue ;) It's oozing pre cum ;)
"The sight I'm seeing is unbelievable, It's beautiful..",I play with your 'head'. Then I swallow it down my throat ;)
Everything.,Mhmmmmm...
I want to kiss you first and feel your tounge on mine.,I'd like that ;)
As I'm lightly touching your clit..,"I push your tender meat out of my mouth, and lay down..."
"Your starting to buck up off the bed, Your Pussy is on fire so I gave to go down on you baby..",What are u seeing? ;)
I plunge my tongue in your wet hole. Ahhh it's so beautiful.," Aghhh I'm sooo wet ;) Baby, go down on meee. Puhlease.. Eat me out"
Your Pussy is so great..,My pussy is just tooo wet..For you
My cock is aching though for it but I don't care..,mhmm?
I'm giving it everything I have on my tongue... I'm sucking your clit like crazy... Mhmm...,oh yeah...
Your on fire!,Mhmmm I like it... Say dirty things to meee...
My cock is going to explode if I don't get inside you.!!Please baby girl.. I want you!!,Like how you're gonna tear my pussy just with your tongue..
Fuck my cock.. Aaaahhh... Fuck I climb on top and just tease the entrance to your pussy...,And rub your finger on my clit..
"I know u want it.. So I plunge in  slowly, as I start to fuck you I look at you""",While your other fingers are inside my dripping hole...
Your eyes again..,Indeed
I lean forward as I fuck you and slowly kiss u again. You have me. I have no control..,Then do it.. I want it inside..
Well I'm close so I speed up... Faster and faster...,I want to squeeze your dick inside my kitty..
"Your tounge plunging In my mouth""..Your legs are crossed over my back... Pulling me in..",And?
How u feel baby girl;),Mhmmmmm...
U close to cumming?,Fuck mee sooo hard that I won't be able to walk for dayssss...
Ok babe cum. My cock is pumping like crazy into u.. You are just in heaven waiting for your Pussy to release.. It's building up..Cum on baby cum for me.. Finger your Pussy hole.. Give me your cum all over my face ;),Mhmmmmm....
XX..,Aaargh... Mhmmmm
you're sexy too 😉,Great.. ;)
What’s going on gorgeous we’re headed to a lil get together,I'll talk to u in a sec after I'm done.
Hi ms nurse,done babe.. ;)
Watching the chargers game. Come be a party of the carnage. Orale!,Jon is sexy
What’s up pumpkin. I’m headed out to watch the game come meet up. I was sexy boy outside of xs the other night I should have just stolen you that night!,Huh who is this
Aw lol,I was so drunk I don’t remember much. Send me a picture
I did actually just never saw you boo,I even goty phone stolen 🙁
I think there’s some demand out here actually. I know the medical industry in general does good out here,Got my*
Ok gorgeous. What part of cali are you in?,Oh that’s right I remember u now!!! Dang u never came back (I sent her a picture of me and Jlaix w/ beers on our heads lol)
What? A girl saint..? That’s not right. 😉,Aww that sucks…
She sounds like she makes beer,Well come see me
What you getting belligerent at xs? Lol wish I’d been there to take advantage of you! :p,San Diego? Hmm
Lol.. spin class,Yeah I’m not actually going to San Diego LOL
How was spin class boo. I can’t imagine that you’re even more sexy now,Oh do u live in L.V?
Hey punkin. Think I saw you on cartoon network?,Yeah my place is on eastern and flamingo
Hm I’ll see if I can find a picture,I see..
I could just tell you liked to dress up and ride ponies. Am I good or what,"I’m headed to a pt’s right now. Where you at hon? (As you can see before I even think about how to start sexting, I figure out if we can meet up first ;))"
Gawdamn you’re hot. When are you coming up here to visit me again,I might be moving out there soon just gonna see if I can get a job first
But nice pic. Color run? I almost went (I figured I’d try to be normal too LOL),"It’s a good spot, it’s just cold season now. Where you from"
Girl I’ll be the one holding you to things.. like my kitchen counter. My bed. Maybe even a wall or two (but no time to relent.. keep things going and have fun!),Know of any nursing jobs out there by any chance?
now show me your fucking body right now I want it,I’m in California now
"Well then I think you need to let them know you got to pull over real quick to use the restroom (So here I know I wasn’t being realistic but I HAD to continue the dominance theme, not just because it was the right move but because I was FEELING it.)",We’ll u have fun watching the game. I’m meeting the girls for a gym session 🙂 let’s keep in touch though
Are you sure about that,Well*
"Gawdamn. Wish I had this earlier, I already came thinking about you when I was in the shower (It IS ok to bring this stuff up if you’ve hit that point with a girl)","Santa Paula, close to L.A"
I already showed you my chest. 😉,Lol funny huh?
I really want to suck on your tits. Then fuck you (I save the overt sexuality for when it’s appropriate),Wow never again lol!!!!
You know what I want. Send it,Oops that was for Julie sorry
Yeah I may have to have you ride my face too.,Nope belligerent after xs lol
Babe send more,Bought to start spin class… Ttyl :*
Looks like it’s laundry day huh? :p,About*
It’s laundry day for me tho lol,Cartoon Network? How so? Lol!
Rainbow bright lol,Okay
"I’m probably going to hurt you with my cock a little bit when I see you. Just a little, don’t worry we can still be friends afterwards. But yeah, I’m going to be a bit rude with your lil body",Haha… That’s my twin!!! How did u know:)
Going to pin you down and slide it inside you while you moan and wiggle around,See told u it was my twin
Send me more pics they give me.. ideas. Lol,Lol
"I would not be able to keep my hands off your legs (More sensual here. Sex is not just about penetration, it’s the entire experience that makes it so amazing)",I’m going to tear you up (lol. Sexual aggressiveness is a HUGE turn on for girls.)
Maybe just a little 🙂,Hey don’t make promises u can’t keep cuz I’ll hold you to it silly boy. Yeah color run was this morning (Phew)
That’s a cute little pussy I may have to spank you for being so bad and not wearing panties,Send me a pic tho.. Show me whacha workin with
I want to spread your legs and eat out your wet pussy,Okay dead mouse lol!!! (sent pic wearing Deadmau5 mask)
Mhmmm ;) and then I'm going to turn you over and put my hard cock deep inside you ;),Rawrr… Yummy but I want more
And I'll kiss your neck and and slowly go in and out of you ;),You want to see my dick don’t you. You want to taste it
I want to fill you up and make you scream ;),I’m with family right now… Damn or else I would
I want to dominate you and make you mine ;),But yeah u do (think she meant i here)
Yea you do you Enjoy my big hard dick fucking,You already have some in your phone I’m sure
You from behind,I’m not letting you see my dick till I see that little coochie that you won’t be hiding from me much longer
Mmmm I love that miss your tight pussy fucking my big dick,No I just bought this phone Tuesday. I lost my phone that night honey
Miss seeing you look back while pounding you balls deep bent over the bed,"Go into the bathroom, take a pic and send it."
Okay,Really wow? I’m In a car right now with my girls lol
I want you on your hands and knees while you suck me looking up at me,Pff no it can wait… It’s cool
Then I want you to crawl up on me and ride me hard,"I want to stick my dick right in between those (Sorry for blatant vulgarity, but this IS real life. lol)"
I want to make you scream while I suck on your breasts,Ok now your turn
Then I want you to sit on me while I eat you out,What? Lol
And you can suck on me hard until we cum,Alright I’ll go first 😉
Haha I know! I love the honesty,K
"Bending you over the kitchen island and fucking you from behind, that's the best position",Oh yum I wanna ride that shit until your toes curl 😉
Sounds perfect to me:) what're you doing tomorrow?,No lol that was yesterday at some Girls house
I wanna hold you up against the shower wall and kiss you all over your body,I need socks!
I'll be the bad cop,Yup lol
"I will I pick you up and out you on the counter top, I spread our legs and tease you with my hard cock",Don’t worry you’ll like it
Until I kiss your body everywhere and spend some time caressing your breasts and neck,Oh really? Tell me more…
I started eating you out very gently,You would probably make my dick stay hard for at least two hours
Moving my tongue in different motions and using my fingers to put pressure on your clit,We need to test this theory
We make out intensely,You like em?
"Mmm then put your legs behind your head, stick my finger in your wet pussy and make you squirt all over my fingers then slide my dick inside you and fuck you slowly til you beg to go deep and hard then fuck away",Send me a pic in your panties
Harder,I’m not wearing any
And harder,I may have to fuck you from behind for a while too
Til you scream and slap the mattress with pleasure,It’s good to be bad sometimes 😉
I'm stroking my hard cock thinking about you,"Oh I certainly do, I love when you toss me around and then stick it in me switching positions"
I want to be in you so bad,I miss your big dick in my tight wet pussy
I want you to grab me and kiss me,Well babe I'm here and ready and willing for you to have your way with me
I will,Just being honest haha
And you'll scream and squirt everywhere,Good I would hope so
"I'll tie you up to the bed and get on top of you after eating you out and be so rough and passionate, you'll be itching to get out of those handcuffs so you can ride me till kingdom cum",Sooo like let's do that v soon please?
Rub your clit soft and gently,Cause that's my fav
If you have to get lube or use your spit and get yourself wet down there,And have the hot water drip down my back as you grip every part of me tighter and closer
Rub harder and harder in circular motion,God that is so hot
With your other finger only insert your pinky,Please throw me up against anything and everything
Finger yourself until you want more,Handcuff me
"Go to your index finger and finger and finger, feel yourself inside",Tie me up
Imagine how great it feels for me to inside you,I don't care
Man I'm gonna have some fun with you,sides and fuck me hard and fast
Yes please I wanna see those gorgeous eyes of yours,Yeah we're gonna fuck for a long time
Yes to both,I don't care
It really depends on recent masturbation tendencies but idk 5-10 min probably?,I want your big hard dick inside of me
Maybe a little longer,Where it's nice and wet waiting for you
I am constantly horny,God I hope you're hard right now
Yeah you got me all riled up,I think so too
Yeah I want to see you bent over in high heels,Do you like eye contact when I'm sucking you off?
Ugh such a tease,Can you orgasm from it?
Oh yeah? What am I doing?,A blowjob? Not my eyes
In your little fantasy,What's your recovery time like?
Mmm I love that feeling when I thrust deep inside and my thighs press up against the back of yours.,Damn
Just remember you don't get to cum until I say you can,Nice recovery
baby just get here so i can fuck you how you like it,I feel like something's missing in my life...
Or when you're bent over my bed,Namely you.
Might not even have time to take your skirt off,Between my legs.
That's my girl,Did I?
"Have you ever been with someone 6' 5""? Or similar height?",I'm assuming it's a nice view
Haha just wait until I have you bent over and I reach around to rub your clit,I'm thinking about you bending me over like that though. Is that really being a tease?
"5' 11"" dudes could never",You're pulling my hair back so that my back arches just a bit so you can hit closer to my gspot when you're inside of me
I want you to promise me one thing,Size doesn't matter when you're horizontal anyway
Tonight you will not move from there until I make you come with my mouth,Now you're talking
Oh baby,You can move the panties to the side
Good girl,If I'm wearing any
I'm just gonna lightly wrap my hand around your hair to keep it out of your face and keep a little control He: over that pretty little mouth,"No, never haha."
Go slow though,You're very tall lol
Really take your time and enjoy it,Ok
Because I'm gonna tease the hell out of you before I let you cum all over my face,I promise
Oh god I want to fuck you so deeply,That's what I want
I want to make your pussy raw and cum in your face. You're such a dirty bitch and you're all mine,"I don't mind if you set the pace with your hand on my head, either."
"My cock gets so hard when i think about fucking you, kissing your neck and pulling your nipples hard.",I just want it to feel good
I'm going to hold your hands down and peel your pussy lips apart so I can lick your clit and stick my tongue inside you. Then when you are dripping wet I'm going to push my hard dick into your tight pussy as deep as I can.,I can do that
I'm going to tease you by fucking you with just the tip so you are begging me to go deeper and when you think you cant take it anymore ill grab your hair and pound you from behind and spank your ass because your such a dirty girl.,"I will figure out what makes you tick, don't worry."
Then when you've cum all over my cock I'm going to turn you over and force my cock all the way down your throat and fuck your face. And just before I cum I'm going to pull out and cum all over your face.,I want your cock so bad my pussy is aching
"Shh shh just say ""Thank you, daddy""",Tell me how baby
Call your boss and tell them you won't be in tomorrow. You're going to need a personal day to sleep and recover after what I do to you all night long.,"I want to be thrown on my tummy with my hands behind my back, have you pull my hair while forcing me down, fucking me until I cum on your cock"
Go get your vibrator,"If I'm around you, we won't have a problem making sure I'm ""well lubricated"""
Oh yeah? What did you want to play with?,"Then come over and fuck me right now ""daddy"""
"Hmm I'm not sure, I guess you'll have to tell me",Who needs sleep when there are so many other fun things to do?
I really want to eat you out until you forget why you had any worries in the first place,"No, I want to play with you first"
That sounds sexy,What does your neck taste like?
Tease,I'm about to get a shower.
I want to lay you down on the bed and take your panties off with my teeth inch by inch,I'm going to rub my pussy thinking about you
sliding down your legs. After that I want to gently circle your clit and I won't stop until you tell me to,Could you do one really important thing for me though love?
?,Could you please French kiss my sweet little pussy love?
I can indeed my little fucktoy,I want to feel your warm mouth on me. Your wet tongue gliding slowly around my clit.....
That's how your going to feel when I spread your pussy with my tongue and make you come with my mouth,And cuddle me after all this rough lovings.
"We're in the shower and you're soaking wet...everywhere. We get so worked up, rubbing my hard hard cock against your",Mmmm.... I feel all flush and tingly
Are you at work,Yes sir
"When you have a free moment, slip away and show me you pretty little tits","I want your hands to be all over my body, slowly moving over my nipples and feeling them get harder under your finger tips. I can feel you tracing every curve of my body, eventually going down between my legs, feeling how wet I am, teasing my clit until I can't take it anymore and I beg you to eat me out"
Oh dear god I just cam so wonderfully. Thank you.,Well you know how to turn me on
i want to slowly spread your legs wide and kiss down the inside of your thighs,I can feel your kisses
I love how wet you get,My back is arched just thinking about that
that makes me want to even more,Omg I so wish you were here
then i want to kiss all the way down the inside of your thighs,I would love to fuck you with your toys
all the way down,Wish I could kiss you before bed.
and slowly spread you open,Wrist bond to the couch as I'm bent over the arm. Ass up for you.
and gently lick up and down,Punk
outside first,I'm craving you right now.
then work my way in,I was using my wand thinking about you fingering me with my plug in holding my wand to my Clit slowly pressing and easing off massaging me with the wand my hands tied above me so I was helpless to you as you made me squirt and cum and splash till you were satisfied
so hot,Could you please....
then lick up and down,Thrust your cock deep inside my mouth. Stretching my throat and making me squirm while I'm all tied up.
right in the middle,"I can't wait to have you inside me while you play with my clit, ramming me so hard and making my legs shake. I want to be gasping for air while begging for more"
and slowly close in on your sexy clit,Fuck I want that so bad
"and id curl my middle finger up, gently pressing on your g spot",I want to go all night
and rub up and down,I want massage your shoulders
"up past it, down over it, then stop right before i pull out",Is that weird?
over and over,Only if you want me to be.
as im licking your clit,Or I could just be wearing a pearl thong and princess plug.
so do i,Yeah I have a very high sex drive lol
and then i would slowly speed it up,Make me cum?
pressing harder and harder on your g-spot,Repeatedly
as i keep licking,Until I scream
I want you to fuck my mouth thrusting your hard cock down my throat and making my pussy sloppy wet while you fuck me with my wand and the fun extension.,I want to be shaking
I want you to fill my pussy with your thick cock so bad love. And I'd love to do this all with my pretty purple princess plug in.,can you come over & eat me out?
trying to concentrate on my work but all I've been doing is daydreaming about having you bent over my desk with your jeans around your ankles,you back on to me so I can finish the job
I can't wait to pick you up from the couch and take you to the kitchen counter and pleasure you and then pick you back up and pin you up against the kitchen wall and continue,honey let's just do it quick then fuck me harder
Will you be naked?,I'd love to
Over and over and over,"Oh yes, I won't stop"
"I'll make you shake, that's such a turn on for me",God I want to fuck your mouth and pussy so badly
